0.0,5438
0.1,23837
0.2,89123
0.3,109411
0.4,59671
0.5,24365
0.6,73836
0.7,18717
0.8,9536
0.9,439
0.10,129480
0.11,38810
0.12,33818
0.13,62246
0.14,111080
0.15,67184
0.16,568
0.17,71096
0.18,13832
0.19,20710
0.20,75701
0.21,40748
0.22,61794
0.23,49868
0.24,94840
0.25,66896
0.26,99619
0.27,42519
0.28,9455
0.29,56263
0.30,65309
0.31,28270
0.32,32559
0.33,107238
0.34,59256
0.35,95424
0.36,21984
0.37,3661
0.38,16040
0.39,70381
0.40,47984
0.41,54538
0.42,59905
0.43,84087
0.44,90609
0.45,13464
0.46,53737
0.47,82442
0.48,86436
0.49,15395
0.50,36824
0.51,110569
0.52,49049
0.53,74301
0.54,38142
0.55,3432
0.56,104830
0.57,110084
0.58,92425
0.59,111469
0.60,126993
0.61,7163
0.62,27825
0.63,40449
0.64,9142
0.65,16756
0.66,103210
0.67,32002
0.68,96265
0.69,115862
0.70,53444
0.71,48082
0.72,10623
0.73,65978
0.74,57495
0.75,5762
0.76,91878
0.77,23241
0.78,18181
0.79,5433
0.80,45261
0.81,18238
0.82,62065
0.83,258
0.84,30623
0.85,17521
0.86,70254
0.87,74629
0.88,69
0.89,45084
0.90,6921
0.91,40623
0.92,4333
0.93,8641
0.94,74052
0.95,26598
0.96,69376
0.97,631
0.98,52728
0.99,76298
0.100,64039
0.101,26904
0.102,29727
0.103,5667
0.104,37103
0.105,59557
0.106,24848
0.107,18348
0.108,65494
0.109,28289
0.110,35778
0.111,132049
0.112,22465
0.113,76875
0.114,10898
0.115,31583
0.116,46090
0.117,31824
0.118,38822
0.119,98585
0.120,35783
0.121,104170
0.122,78466
0.123,31941
0.124,4708
0.125,82759
0.126,12608
0.127,48360
0.128,21770
0.129,26306
0.130,68623
0.131,658
0.132,42722
0.133,5147
0.134,72966
0.135,33337
0.136,32960
0.137,88458
0.138,3329
0.139,40539
0.140,5840
0.141,73367
0.142,125125
0.143,68183
0.144,30816
0.145,33727
0.146,77011
0.147,20752
0.148,61104
0.149,11856
0.150,84985
0.151,46183
0.152,4550
0.153,2728
0.154,13914
0.155,66819
0.156,67345
0.157,55249
0.158,18704
0.159,72444
0.160,20533
0.161,4184
0.162,40905
0.163,69822
0.164,78688
0.165,114261
0.166,29979
0.167,86087
0.168,29208
0.169,68960
0.170,9154
0.171,11823
0.172,54488
0.173,4509
0.174,63849
0.175,130631
0.176,17187
0.177,56197
0.178,82512
0.179,10280
0.180,10795
0.181,43018
0.182,66637
0.183,49766
0.184,12073
0.185,54003
0.186,30631
0.187,51432
0.188,27887
0.189,12828
0.190,70673
0.191,8940
0.192,120668
0.193,12096
0.194,31412
0.195,67404
0.196,25869
0.197,3462
0.198,64062
0.199,20363
